Year,state,Population
1964,Minnesota,3521000
1965,Minnesota,3554000
1966,Minnesota,3576000
1967,Minnesota,3582000
1968,Minnesota,3646000
1969,Minnesota,3700000
1970,Minnesota,3805069
1971,Minnesota,3881000
1972,Minnesota,3896000
1973,Minnesota,3897000
1974,Minnesota,3917000
1975,Minnesota,3926000
1976,Minnesota,3965000
1977,Minnesota,3975000
1978,Minnesota,4008000
1979,Minnesota,4060000
1980,Minnesota,4061235
1981,Minnesota,4090000
1982,Minnesota,4133000
1983,Minnesota,4144000
1984,Minnesota,4162000
1985,Minnesota,4193000
1986,Minnesota,4214000
1987,Minnesota,4246000
1988,Minnesota,4306000
1989,Minnesota,4353000
1990,Minnesota,4375099
1991,Minnesota,4432000
1992,Minnesota,4480000
1993,Minnesota,4517000
1994,Minnesota,4567000
1995,Minnesota,4610000
1996,Minnesota,4658000
1997,Minnesota,4686000
1998,Minnesota,4725000
1999,Minnesota,4775508
2000,Minnesota,4919479
2001,Minnesota,4984535
2002,Minnesota,5024791
2003,Minnesota,5064172
2004,Minnesota,5096546
2005,Minnesota,5126739
2006,Minnesota,5167101
2007,Minnesota,5197621
2008,Minnesota,5230567
2009,Minnesota,5266214
2010,Minnesota,5310658
2011,Minnesota,5347299
2012,Minnesota,5379139
1960,Mississippi,2178141
1961,Mississippi,2215000
1962,Mississippi,2248000
1963,Mississippi,2290000
1964,Mississippi,2314000
1965,Mississippi,2321000
1966,Mississippi,2327000
1967,Mississippi,2348000
1968,Mississippi,2342000
1969,Mississippi,2363000
1970,Mississippi,2216912
1971,Mississippi,2226000
1972,Mississippi,2263000
1973,Mississippi,2281000
1974,Mississippi,2324000
1975,Mississippi,2346000
1976,Mississippi,2354000
1977,Mississippi,2389000
1978,Mississippi,2404000
1979,Mississippi,2406000
1980,Mississippi,2511491
1981,Mississippi,2530000
1982,Mississippi,2551000
1983,Mississippi,2587000
1984,Mississippi,2598000
1985,Mississippi,2613000
1986,Mississippi,2625000
1987,Mississippi,2625000
1988,Mississippi,2627000
1989,Mississippi,2621000
1990,Mississippi,2573216
1991,Mississippi,2592000
1992,Mississippi,2614000
1993,Mississippi,2643000
1994,Mississippi,2669000
1995,Mississippi,2697000
1996,Mississippi,2716000
1997,Mississippi,2731000
1998,Mississippi,2752000
1999,Mississippi,2768619
2000,Mississippi,2844658
2001,Mississippi,2859733
2002,Mississippi,2866733
2003,Mississippi,2882594
2004,Mississippi,2900768
2005,Mississippi,2908496
2006,Mississippi,2910540
2007,Mississippi,2918785
2008,Mississippi,2940212
2009,Mississippi,2951996
2010,Mississippi,2970072
2011,Mississippi,2977457
2012,Mississippi,2984926
1960,Missouri,4319813
1961,Missouri,4378000
1962,Missouri,4346000
1963,Missouri,4328000
1964,Missouri,4409000
1965,Missouri,4497000
1966,Missouri,4508000
1967,Missouri,4603000
1968,Missouri,4627000
1969,Missouri,4651000
1970,Missouri,4677399
1971,Missouri,4749000
1972,Missouri,4753000
1973,Missouri,4757000
1974,Missouri,4777000
1975,Missouri,4763000
1976,Missouri,4778000
1977,Missouri,4801000
1978,Missouri,4860000
1979,Missouri,4868000
1980,Missouri,4901288
1981,Missouri,4938000
1982,Missouri,4951000
1983,Missouri,4970000
1984,Missouri,5008000
1985,Missouri,5029000
1986,Missouri,5066000
1987,Missouri,5103000
1988,Missouri,5139000
1989,Missouri,5159000
1990,Missouri,5117073
1991,Missouri,5158000
1992,Missouri,5193000
1993,Missouri,5234000
1994,Missouri,5278000
1995,Missouri,5324000
1996,Missouri,5359000
1997,Missouri,5402000
1998,Missouri,5439000
1999,Missouri,5468338
2000,Missouri,5595211
2001,Missouri,5637309
2002,Missouri,5669544
2003,Missouri,5719204
2004,Missouri,5759532
2005,Missouri,5797703
2006,Missouri,5842713
2007,Missouri,5878415
2008,Missouri,5956335
2009,Missouri,5987580
2010,Missouri,5995715
2011,Missouri,6008984
2012,Missouri,6021988
1960,Montana,674767
1961,Montana,682000
1962,Montana,709000
1963,Montana,707000
1964,Montana,705000
1965,Montana,706000
1966,Montana,702000
1967,Montana,701000
1968,Montana,693000
1969,Montana,694000
1970,Montana,694409
1971,Montana,708000
1972,Montana,719000
1973,Montana,721000
1974,Montana,735000
1975,Montana,748000
1976,Montana,753000
1977,Montana,761000
1978,Montana,785000
1979,Montana,786000
1980,Montana,781592
1981,Montana,792000
1982,Montana,801000
1983,Montana,817000
1984,Montana,824000
1985,Montana,826000
1986,Montana,819000
1987,Montana,809000
1988,Montana,804000
1989,Montana,806000
1990,Montana,799065
1991,Montana,808000
1992,Montana,824000
1993,Montana,839000
1994,Montana,856000
1995,Montana,870000
1996,Montana,879000
1997,Montana,879000
1998,Montana,880000
1999,Montana,882779
2000,Montana,902195
2001,Montana,905382
2002,Montana,910372
2003,Montana,918157
2004,Montana,926920
2005,Montana,934737
2006,Montana,944632
2007,Montana,957861
2008,Montana,968035
2009,Montana,974989
2010,Montana,990958
2011,Montana,997677
2012,Montana,1005141
1960,Nebraska,1411330
1961,Nebraska,1431000
1962,Nebraska,1484000
1963,Nebraska,1460000
1964,Nebraska,1480000
1965,Nebraska,1477000
1966,Nebraska,1456000
1967,Nebraska,1435000
1968,Nebraska,1437000
1969,Nebraska,1449000
1970,Nebraska,1483791
1971,Nebraska,1512000
1972,Nebraska,1525000
1973,Nebraska,1542000
1974,Nebraska,1543000
1975,Nebraska,1546000
1976,Nebraska,1553000
1977,Nebraska,1561000
1978,Nebraska,1565000
1979,Nebraska,1574000
1980,Nebraska,1563921
1981,Nebraska,1576000
1982,Nebraska,1586000
1983,Nebraska,1597000
1984,Nebraska,1606000
1985,Nebraska,1606000
1986,Nebraska,1598000
1987,Nebraska,1594000
1988,Nebraska,1601000
1989,Nebraska,1611000
1990,Nebraska,1578385
1991,Nebraska,1593000
1992,Nebraska,1606000
1993,Nebraska,1607000
1994,Nebraska,1623000
1995,Nebraska,1637000
1996,Nebraska,1652000
1997,Nebraska,1657000
1998,Nebraska,1663000
1999,Nebraska,1666028
2000,Nebraska,1711263
2001,Nebraska,1720039
2002,Nebraska,1727564
2003,Nebraska,1737475
2004,Nebraska,1747704
2005,Nebraska,1758163
2006,Nebraska,1768331
2007,Nebraska,1774571
2008,Nebraska,1781949
2009,Nebraska,1796619
2010,Nebraska,1830141
2011,Nebraska,1842234
2012,Nebraska,1855525
1960,Nevada,285278
1961,Nevada,299000
1962,Nevada,335000
1963,Nevada,368000
1964,Nevada,408000
1965,Nevada,440000
1966,Nevada,454000
1967,Nevada,444000
1968,Nevada,453000
1969,Nevada,457000
1970,Nevada,488738
1971,Nevada,507000
1972,Nevada,527000
1973,Nevada,548000
1974,Nevada,573000
1975,Nevada,592000
1976,Nevada,610000
1977,Nevada,633000
1978,Nevada,660000
1979,Nevada,702000
1980,Nevada,800312
1981,Nevada,845000
1982,Nevada,881000
1983,Nevada,891000
1984,Nevada,911000
1985,Nevada,936000
1986,Nevada,963000
1987,Nevada,1007000
1988,Nevada,1060000
1989,Nevada,1111000
1990,Nevada,1201833
1991,Nevada,1284000
1992,Nevada,1327000
1993,Nevada,1389000
1994,Nevada,1457000
1995,Nevada,1530000
1996,Nevada,1603000
1997,Nevada,1677000
1998,Nevada,1747000
1999,Nevada,1809253
2000,Nevada,1998257
2001,Nevada,2097722
2002,Nevada,2167455
2003,Nevada,2242207
2004,Nevada,2332898
2005,Nevada,2412301
2006,Nevada,2495529
2007,Nevada,2565382
2008,Nevada,2615772
2009,Nevada,2643085
2010,Nevada,2704283
2011,Nevada,2720028
2012,Nevada,2758931
1960,New Hampshire,606921
1961,New Hampshire,621000
1962,New Hampshire,632000
1963,New Hampshire,627000
1964,New Hampshire,654000
1965,New Hampshire,669000
1966,New Hampshire,681000
1967,New Hampshire,686000
1968,New Hampshire,702000
1969,New Hampshire,717000
1970,New Hampshire,737681
1971,New Hampshire,762000
1972,New Hampshire,771000
1973,New Hampshire,791000
1974,New Hampshire,808000
1975,New Hampshire,818000
1976,New Hampshire,822000
1977,New Hampshire,849000
1978,New Hampshire,871000
1979,New Hampshire,887000
1980,New Hampshire,919114
1981,New Hampshire,935000
1982,New Hampshire,951000
1983,New Hampshire,959000
1984,New Hampshire,977000
1985,New Hampshire,998000
1986,New Hampshire,1027000
1987,New Hampshire,1057000
1988,New Hampshire,1097000
1989,New Hampshire,1107000
1990,New Hampshire,1109252
1991,New Hampshire,1105000
1992,New Hampshire,1111000
1993,New Hampshire,1125000
1994,New Hampshire,1137000
1995,New Hampshire,1148000
1996,New Hampshire,1162000
1997,New Hampshire,1173000
1998,New Hampshire,1185000
1999,New Hampshire,1201134
2000,New Hampshire,1235786
2001,New Hampshire,1259359
2002,New Hampshire,1274405
2003,New Hampshire,1288705
2004,New Hampshire,1299169
2005,New Hampshire,1306819
2006,New Hampshire,1314895
2007,New Hampshire,1315828
2008,New Hampshire,1321872
2009,New Hampshire,1324575
2010,New Hampshire,1316807
2011,New Hampshire,1317807
2012,New Hampshire,1320718
1960,New Jersey,6066782
1961,New Jersey,6244000
1962,New Jersey,6245000
1963,New Jersey,6470000
1964,New Jersey,6682000
1965,New Jersey,6774000
1966,New Jersey,6898000
1967,New Jersey,7003000
1968,New Jersey,7078000
1969,New Jersey,7148000
1970,New Jersey,7168164
1971,New Jersey,7300000
1972,New Jersey,7367000
1973,New Jersey,7361000
1974,New Jersey,7330000
1975,New Jersey,7316000
1976,New Jersey,7336000
1977,New Jersey,7329000
1978,New Jersey,7327000
1979,New Jersey,7332000
1980,New Jersey,7342164
1981,New Jersey,7401000
1982,New Jersey,7438000
1983,New Jersey,7468000
1984,New Jersey,7515000
1985,New Jersey,7562000
1986,New Jersey,7620000
1987,New Jersey,7672000
1988,New Jersey,7720000
1989,New Jersey,7736000
1990,New Jersey,7730188
1991,New Jersey,7760000
1992,New Jersey,7789000
1993,New Jersey,7879000
1994,New Jersey,7904000
1995,New Jersey,7945000
1996,New Jersey,7988000
1997,New Jersey,8053000
1998,New Jersey,8115000
1999,New Jersey,8143412
2000,New Jersey,8414350
2001,New Jersey,8511116
2002,New Jersey,8575252
2003,New Jersey,8642412
2004,New Jersey,8685166
2005,New Jersey,8703150
2006,New Jersey,8724560
2007,New Jersey,8685920
2008,New Jersey,8663398
2009,New Jersey,8707739
2010,New Jersey,8799593
2011,New Jersey,8834773
2012,New Jersey,8864590
1960,New Mexico,951023
1961,New Mexico,983000
1962,New Mexico,1020000
1963,New Mexico,1018000
1964,New Mexico,1008000
1965,New Mexico,1029000
1966,New Mexico,1022000
1967,New Mexico,1003000
1968,New Mexico,1015000
1969,New Mexico,994000
1970,New Mexico,1016000
1971,New Mexico,1030000
1972,New Mexico,1065000
1973,New Mexico,1106000
1974,New Mexico,1122000
1975,New Mexico,1147000
1976,New Mexico,1168000
1977,New Mexico,1190000
1978,New Mexico,1212000
1979,New Mexico,1241000
1980,New Mexico,1295474
1981,New Mexico,1327000
1982,New Mexico,1359000
1983,New Mexico,1399000
1984,New Mexico,1424000
1985,New Mexico,1450000
1986,New Mexico,1479000
1987,New Mexico,1500000
1988,New Mexico,1510000
1989,New Mexico,1528000
1990,New Mexico,1515069
1991,New Mexico,1548000
1992,New Mexico,1581000
1993,New Mexico,1616000
1994,New Mexico,1654000
1995,New Mexico,1685000
1996,New Mexico,1713000
1997,New Mexico,1730000
1998,New Mexico,1737000
1999,New Mexico,1739844
2000,New Mexico,1819046
2001,New Mexico,1830935
2002,New Mexico,1852044
2003,New Mexico,1878562
2004,New Mexico,1903006
2005,New Mexico,1925985
2006,New Mexico,1954599
2007,New Mexico,1969915
2008,New Mexico,1986763
2009,New Mexico,2009671
2010,New Mexico,2065913
2011,New Mexico,2078674
2012,New Mexico,2085538
1965,New York,18073000
1966,New York,18258000
1967,New York,18336000
1968,New York,18113000
1969,New York,18321000
1970,New York,18190740
1971,New York,18391000
1972,New York,18366000
1973,New York,18265000
1974,New York,18111000
1975,New York,18120000
1976,New York,18084000
1977,New York,17924000
1978,New York,17748000
1979,New York,17649000
1980,New York,17506690
1981,New York,17594000
1982,New York,17659000
1983,New York,17667000
1984,New York,17735000
1985,New York,17783000
1986,New York,17772000
1987,New York,17825000
1988,New York,17898000
1989,New York,17950000
1990,New York,17990455
1991,New York,18058000
1992,New York,18119000
1993,New York,18197000
1994,New York,18169000
1995,New York,18136000
1996,New York,18185000
1997,New York,18137000
1998,New York,18175000
1999,New York,18196601
2000,New York,18976457
2001,New York,19084350
2002,New York,19134293
2003,New York,19212425
2004,New York,19280727
2005,New York,19315721
2006,New York,19306183
2007,New York,19297729
2008,New York,19467789
2009,New York,19541453
2010,New York,19395206
2011,New York,19501616
2012,New York,19570261
1960,North Carolina,4556155
1961,North Carolina,4614000
1962,North Carolina,4731000
1963,North Carolina,4760000
1964,North Carolina,4852000
1965,North Carolina,4914000
1966,North Carolina,5000000
1967,North Carolina,5029000
1968,North Carolina,5135000
1969,North Carolina,5205000
1970,North Carolina,5082059
1971,North Carolina,5146000
1972,North Carolina,5214000
1973,North Carolina,5273000
1974,North Carolina,5363000
1975,North Carolina,5451000
1976,North Carolina,5469000
1977,North Carolina,5525000
1978,North Carolina,5577000
1979,North Carolina,5606000
1980,North Carolina,5843665
1981,North Carolina,5951000
1982,North Carolina,6019000
1983,North Carolina,6082000
1984,North Carolina,6165000
1985,North Carolina,6255000
1986,North Carolina,6331000
1987,North Carolina,6413000
1988,North Carolina,6526000
1989,North Carolina,6571000
1990,North Carolina,6628637
1991,North Carolina,6737000
1992,North Carolina,6843000
1993,North Carolina,6945000
1994,North Carolina,7070000
1995,North Carolina,7195000
1996,North Carolina,7323000
1997,North Carolina,7425000
1998,North Carolina,7546000
1999,North Carolina,7650789
2000,North Carolina,8049313
2001,North Carolina,8206105
2002,North Carolina,8305820
2003,North Carolina,8421190
2004,North Carolina,8540468
2005,North Carolina,8672459
2006,North Carolina,8856505
2007,North Carolina,9061032
2008,North Carolina,9247134
2009,North Carolina,9380884
2010,North Carolina,9560234
2011,North Carolina,9651103
2012,North Carolina,9752073
1960,North Dakota,632446
1961,North Dakota,640000
1962,North Dakota,642000
1963,North Dakota,634000
1964,North Dakota,645000
1965,North Dakota,652000
1966,North Dakota,650000
1967,North Dakota,639000
1968,North Dakota,625000
1969,North Dakota,615000
1970,North Dakota,617761
1971,North Dakota,625000
1972,North Dakota,632000
1973,North Dakota,640000
1974,North Dakota,637000
1975,North Dakota,635000
1976,North Dakota,643000
1977,North Dakota,653000
1978,North Dakota,652000
1979,North Dakota,657000
1980,North Dakota,652437
1981,North Dakota,658000
1982,North Dakota,670000
1983,North Dakota,680000
1984,North Dakota,686000
1985,North Dakota,685000
1986,North Dakota,679000
1987,North Dakota,672000
1988,North Dakota,663000
1989,North Dakota,660000
1990,North Dakota,638800
1991,North Dakota,635000
1992,North Dakota,636000
1993,North Dakota,635000
1994,North Dakota,638000
1995,North Dakota,641000
1996,North Dakota,644000
1997,North Dakota,641000
1998,North Dakota,638000
1999,North Dakota,633666
2000,North Dakota,642200
2001,North Dakota,636550
2002,North Dakota,633911
2003,North Dakota,633400
2004,North Dakota,636308
2005,North Dakota,634605
2006,North Dakota,635867
2007,North Dakota,639715
2008,North Dakota,641421
2009,North Dakota,646844
2010,North Dakota,674629
2011,North Dakota,684740
2012,North Dakota,699628
1960,Ohio,9706397
1961,Ohio,9876000
1962,Ohio,10097000
1963,Ohio,10173000
1964,Ohio,10100000
1965,Ohio,10245000
1966,Ohio,10305000
1967,Ohio,10458000
1968,Ohio,10591000
1969,Ohio,10740000
1970,Ohio,10652017
1971,Ohio,10778000
1972,Ohio,10783000
1973,Ohio,10731000
1974,Ohio,10737000
1975,Ohio,10759000
1976,Ohio,10690000
1977,Ohio,10701000
1978,Ohio,10749000
1979,Ohio,10731000
1980,Ohio,10766808
1981,Ohio,10776000
1982,Ohio,10791000
1983,Ohio,10746000
1984,Ohio,10752000
1985,Ohio,10744000
1986,Ohio,10752000
1987,Ohio,10784000
1988,Ohio,10872000
1989,Ohio,10907000
1990,Ohio,10847115
1991,Ohio,10939000
1992,Ohio,11016000
1993,Ohio,11091000
1994,Ohio,11102000
1995,Ohio,11151000
1996,Ohio,11173000
1997,Ohio,11186000
1998,Ohio,11209000
1999,Ohio,11256654
2000,Ohio,11353140
2001,Ohio,11389785
2002,Ohio,11408699
2003,Ohio,11437680
2004,Ohio,11450143
2005,Ohio,11470685
2006,Ohio,11478006
2007,Ohio,11466917
2008,Ohio,11528072
2009,Ohio,11542645
2010,Ohio,11537968
2011,Ohio,11541007
2012,Ohio,11544225
1960,Oklahoma,2328284
1961,Oklahoma,2360000
1962,Oklahoma,2448000
1963,Oklahoma,2487000
1964,Oklahoma,2465000
1965,Oklahoma,2482000
1966,Oklahoma,2458000
1967,Oklahoma,2495000
1968,Oklahoma,2518000
1969,Oklahoma,2568000
1970,Oklahoma,2559253
1971,Oklahoma,2610000
1972,Oklahoma,2634000
1973,Oklahoma,2663000
1974,Oklahoma,2709000
1975,Oklahoma,2712000
1976,Oklahoma,2766000
1977,Oklahoma,2811000
1978,Oklahoma,2880000
1979,Oklahoma,2892000
1980,Oklahoma,3001252
1981,Oklahoma,3098000
1982,Oklahoma,3177000
1983,Oklahoma,3298000
1984,Oklahoma,3298000
1985,Oklahoma,3301000
1986,Oklahoma,3305000
1987,Oklahoma,3272000
1988,Oklahoma,3263000
1989,Oklahoma,3224000
1990,Oklahoma,3145585
1991,Oklahoma,3175000
1992,Oklahoma,3212000
1993,Oklahoma,3231000
1994,Oklahoma,3258000
1995,Oklahoma,3278000
1996,Oklahoma,3301000
1997,Oklahoma,3317000
1998,Oklahoma,3347000
1999,Oklahoma,3358044
2000,Oklahoma,3450654
2001,Oklahoma,3469577
2002,Oklahoma,3489700
2003,Oklahoma,3506469
2004,Oklahoma,3523546
2005,Oklahoma,3543442
2006,Oklahoma,3579212
2007,Oklahoma,3617316
2008,Oklahoma,3644025
2009,Oklahoma,3687050
2010,Oklahoma,3760184
2011,Oklahoma,3784163
2012,Oklahoma,3814820
1960,Oregon,1768687
1961,Oregon,1799000
1962,Oregon,1864000
1963,Oregon,1826000
1964,Oregon,1871000
1965,Oregon,1899000
1966,Oregon,1955000
1967,Oregon,1999000
1968,Oregon,2008000
1969,Oregon,2032000
1970,Oregon,2091385
1971,Oregon,2158000
1972,Oregon,2182000
1973,Oregon,2225000
1974,Oregon,2266000
1975,Oregon,2288000
1976,Oregon,2329000
1977,Oregon,2376000
1978,Oregon,2444000
1979,Oregon,2527000
1980,Oregon,2610477
1981,Oregon,2647000
1982,Oregon,2649000
1983,Oregon,2662000
1984,Oregon,2674000
1985,Oregon,2687000
1986,Oregon,2698000
1987,Oregon,2724000
1988,Oregon,2741000
1989,Oregon,2820000
1990,Oregon,2842321
1991,Oregon,2922000
1992,Oregon,2977000
1993,Oregon,3032000
1994,Oregon,3086000
1995,Oregon,3141000
1996,Oregon,3204000
1997,Oregon,3243000
1998,Oregon,3282000
1999,Oregon,3316154
2000,Oregon,3421399
2001,Oregon,3473441
2002,Oregon,3520355
2003,Oregon,3564330
2004,Oregon,3591363
2005,Oregon,3638871
2006,Oregon,3700758
2007,Oregon,3747455
2008,Oregon,3782991
2009,Oregon,3825657
2010,Oregon,3838332
2011,Oregon,3868229
2012,Oregon,3899353
1960,Pennsylvania,11319366
1961,Pennsylvania,11468000
1962,Pennsylvania,11376000
1963,Pennsylvania,11424000
1964,Pennsylvania,11459000
1965,Pennsylvania,11520000
1966,Pennsylvania,11582000
1967,Pennsylvania,11629000
1968,Pennsylvania,11712000
1969,Pennsylvania,11803000
1970,Pennsylvania,11793909
1971,Pennsylvania,11879000
1972,Pennsylvania,11926000
1973,Pennsylvania,11902000
1974,Pennsylvania,11835000
1975,Pennsylvania,11827000
1976,Pennsylvania,11862000
1977,Pennsylvania,11785000
1978,Pennsylvania,11750000
1979,Pennsylvania,11731000
1980,Pennsylvania,11824220
1981,Pennsylvania,11864000
1982,Pennsylvania,11865000
1983,Pennsylvania,11895000
1984,Pennsylvania,11901000
1985,Pennsylvania,11853000
1986,Pennsylvania,11889000
1987,Pennsylvania,11936000
1988,Pennsylvania,12027000
1989,Pennsylvania,12040000
1990,Pennsylvania,11881643
1991,Pennsylvania,11961000
1992,Pennsylvania,12009000
1993,Pennsylvania,12048000
1994,Pennsylvania,12052000
1995,Pennsylvania,12072000
1996,Pennsylvania,12056000
1997,Pennsylvania,12020000
1998,Pennsylvania,12001000
1999,Pennsylvania,11994016
2000,Pennsylvania,12281054
2001,Pennsylvania,12303104
2002,Pennsylvania,12328827
2003,Pennsylvania,12370761
2004,Pennsylvania,12394471
2005,Pennsylvania,12405348
2006,Pennsylvania,12440621
2007,Pennsylvania,12432792
2008,Pennsylvania,12566368
2009,Pennsylvania,12604767
2010,Pennsylvania,12717722
2011,Pennsylvania,12743948
2012,Pennsylvania,12763536
1960,Rhode Island,859488
1961,Rhode Island,867000
1962,Rhode Island,865000
1963,Rhode Island,885000
1964,Rhode Island,914000
1965,Rhode Island,920000
1966,Rhode Island,898000
1967,Rhode Island,900000
1968,Rhode Island,913000
1969,Rhode Island,911000
1970,Rhode Island,949723
1971,Rhode Island,960000
1972,Rhode Island,968000
1973,Rhode Island,973000
1974,Rhode Island,937000
1975,Rhode Island,927000
1976,Rhode Island,927000
1977,Rhode Island,935000
1978,Rhode Island,935000
1979,Rhode Island,929000
1980,Rhode Island,945835
1981,Rhode Island,952000
1982,Rhode Island,958000
1983,Rhode Island,955000
1984,Rhode Island,962000
1985,Rhode Island,968000
1986,Rhode Island,975000
1987,Rhode Island,986000
1988,Rhode Island,995000
1989,Rhode Island,998000
1990,Rhode Island,1003464
1991,Rhode Island,1004000
1992,Rhode Island,1005000
1993,Rhode Island,1000000
1994,Rhode Island,997000
1995,Rhode Island,990000
1996,Rhode Island,990000
1997,Rhode Island,987000
1998,Rhode Island,988000
1999,Rhode Island,990819
2000,Rhode Island,1048319
2001,Rhode Island,1059659
2002,Rhode Island,1068326
2003,Rhode Island,1076084
2004,Rhode Island,1079916
2005,Rhode Island,1073579
2006,Rhode Island,1067610
2007,Rhode Island,1057832
2008,Rhode Island,1053502
2009,Rhode Island,1053209
2010,Rhode Island,1052528
2011,Rhode Island,1050646
2012,Rhode Island,1050292
1960,South Carolina,2382594
1961,South Carolina,2407000
1962,South Carolina,2436000
1963,South Carolina,2483000
1964,South Carolina,2555000
1965,South Carolina,2542000
1966,South Carolina,2586000
1967,South Carolina,2599000
1968,South Carolina,2692000
1969,South Carolina,2692000
1970,South Carolina,2590516
1971,South Carolina,2627000
1972,South Carolina,2665000
1973,South Carolina,2726000
1974,South Carolina,2784000
1975,South Carolina,2818000
1976,South Carolina,2848000
1977,South Carolina,2876000
1978,South Carolina,2918000
1979,South Carolina,2932000
1980,South Carolina,3064557
1981,South Carolina,3166000
1982,South Carolina,3203000
1983,South Carolina,3264000
1984,South Carolina,3300000
1985,South Carolina,3347000
1986,South Carolina,3378000
1987,South Carolina,3425000
1988,South Carolina,3493000
1989,South Carolina,3512000
1990,South Carolina,3486703
1991,South Carolina,3560000
1992,South Carolina,3603000
1993,South Carolina,3643000
1994,South Carolina,3664000
1995,South Carolina,3673000
1996,South Carolina,3699000
1997,South Carolina,3760000
1998,South Carolina,3836000
1999,South Carolina,3885736
2000,South Carolina,4012012
2001,South Carolina,4062125
2002,South Carolina,4103770
2003,South Carolina,4148744
2004,South Carolina,4197892
2005,South Carolina,4246933
2006,South Carolina,4321249
2007,South Carolina,4407709
2008,South Carolina,4503280
2009,South Carolina,4561242
2010,South Carolina,4637106
2011,South Carolina,4673348
2012,South Carolina,4723723
1960,South Dakota,680514
1961,South Dakota,690000
1962,South Dakota,721000
1963,South Dakota,737000
1964,South Dakota,715000
1965,South Dakota,703000
1966,South Dakota,682000
1967,South Dakota,674000
1968,South Dakota,657000
1969,South Dakota,659000
1970,South Dakota,666257
1971,South Dakota,670000
1972,South Dakota,679000
1973,South Dakota,685000
1974,South Dakota,682000
1975,South Dakota,683000
1976,South Dakota,686000
1977,South Dakota,689000
1978,South Dakota,690000
1979,South Dakota,689000
1980,South Dakota,688217
1981,South Dakota,685000
1982,South Dakota,691000
1983,South Dakota,700000
1984,South Dakota,706000
1985,South Dakota,708000
1986,South Dakota,708000
1987,South Dakota,709000
1988,South Dakota,715000
1989,South Dakota,715000
1990,South Dakota,696004
1991,South Dakota,703000
1992,South Dakota,711000
1993,South Dakota,715000
1994,South Dakota,721000
1995,South Dakota,729000
1996,South Dakota,732000
1997,South Dakota,738000
1998,South Dakota,738000
1999,South Dakota,733133
2000,South Dakota,754844
2001,South Dakota,758324
2002,South Dakota,760437
2003,South Dakota,764905
2004,South Dakota,770621
2005,South Dakota,774883
2006,South Dakota,781919
2007,South Dakota,796214
2008,South Dakota,804532
2009,South Dakota,812383
2010,South Dakota,816598
2011,South Dakota,823593
2012,South Dakota,833354
1960,Tennessee,3567089
1961,Tennessee,3615000
1962,Tennessee,3634000
1963,Tennessee,3694000
1964,Tennessee,3798000
1965,Tennessee,3845000
1966,Tennessee,3883000
1967,Tennessee,3892000
1968,Tennessee,3976000
1969,Tennessee,3985000
1970,Tennessee,3924164
1971,Tennessee,3990000
1972,Tennessee,4031000
1973,Tennessee,4126000
1974,Tennessee,4129000
1975,Tennessee,4188000
1976,Tennessee,4214000
1977,Tennessee,4299000
1978,Tennessee,4357000
1979,Tennessee,4380000
1980,Tennessee,4545590
1981,Tennessee,4610000
1982,Tennessee,4651000
1983,Tennessee,4685000
1984,Tennessee,4717000
1985,Tennessee,4762000
1986,Tennessee,4803000
1987,Tennessee,4855000
1988,Tennessee,4919000
1989,Tennessee,4940000
1990,Tennessee,4877185
1991,Tennessee,4953000
1992,Tennessee,5024000
1993,Tennessee,5099000
1994,Tennessee,5175000
1995,Tennessee,5256000
1996,Tennessee,5320000
1997,Tennessee,5368000
1998,Tennessee,5431000
1999,Tennessee,5483535
2000,Tennessee,5689283
2001,Tennessee,5749398
2002,Tennessee,5789796
2003,Tennessee,5845208
2004,Tennessee,5893298
2005,Tennessee,5955745
2006,Tennessee,6038803
2007,Tennessee,6156719
2008,Tennessee,6240456
2009,Tennessee,6296254
2010,Tennessee,6357436
2011,Tennessee,6399787
2012,Tennessee,6456243
1960,Texas,9579677
1961,Texas,9788000
1962,Texas,10116000
1963,Texas,10323000
1964,Texas,10397000
1965,Texas,10551000
1966,Texas,10752000
1967,Texas,10869000
1968,Texas,10972000
1969,Texas,11187000
1970,Texas,11196000
1971,Texas,11460000
1972,Texas,11649000
1973,Texas,11794000
1974,Texas,12050000
1975,Texas,12237000
1976,Texas,12487000
1977,Texas,12830000
1978,Texas,13014000
1979,Texas,13385000
1980,Texas,14169829
1981,Texas,14755000
1982,Texas,15280000
1983,Texas,15724000
1984,Texas,15989000
1985,Texas,16370000
1986,Texas,16682000
1987,Texas,16789000
1988,Texas,16780000
1989,Texas,16991000
1990,Texas,16986510
1991,Texas,17349000
1992,Texas,17656000
1993,Texas,18031000
1994,Texas,18378000
1995,Texas,18724000
1996,Texas,19128000
1997,Texas,19439000
1998,Texas,19760000
1999,Texas,20044141
2000,Texas,20851820
2001,Texas,21370983
2002,Texas,21736925
2003,Texas,22103374
2004,Texas,22471549
2005,Texas,22928508
2006,Texas,23507783
2007,Texas,23904380
2008,Texas,24304290
2009,Texas,24782302
2010,Texas,25253466
2011,Texas,25631778
2012,Texas,26059203
1960,Utah,890627
1961,Utah,916000
1962,Utah,967000
1963,Utah,983000
1964,Utah,992000
1965,Utah,990000
1966,Utah,1008000
1967,Utah,1024000
1968,Utah,1034000
1969,Utah,1045000
1970,Utah,1059273
1971,Utah,1099000
1972,Utah,1126000
1973,Utah,1157000
1974,Utah,1173000
1975,Utah,1206000
1976,Utah,1228000
1977,Utah,1268000
